name,type,headline,gender,created_time,vote,comment,content
飞翔的猫,people,太和村第七村民小组十大杰出青年之一,1,2018-04-27 22:01:52,0,0,封什么封，苹果乃是友军，为难一下好莱屋倒是可以。
老周斯图加特,people,究天人之际，通古今之变,-1,2018-04-23 10:42:09,13,6,需要封杀吗？苹果的销售量在不断下降。被疯狗咬了，难道也要去咬疯狗一口吗？苹果质量问题很多的，比如天气一冷就无法拍照。比如屏幕极容易碎。封杀苹果，不如去买中兴手机。 消费者越来越理性。苹果无需封杀。坚持做最好的自己，发展自己的核心技术才是王道。我们期待在未来，我们不卖美国产品了，美国得哭爹喊娘求你卖。
御剑怜侍,people,御剑怜侍选择死亡,1,2018-04-24 23:14:59,0,0,反对，你试试封杀苹果，美国直接有借口下令停止向中国运输ios以及安卓操作系统和cpu，届时中国的手机只能变成一块废铁
追寻金叔的垃圾君,people,宅左屌丝大学生，努力吧,1,2018-04-24 01:05:17,0,0,首先需要有一个像中兴一样几乎弱智的美企，不然找不到借口。
TaoHinching,people,,-1,2018-04-23 21:25:37,0,0,抵制美国货需要学习中国道家智慧，最起码的可以不去肯德基不买宝洁联合利华不喝可口可乐，更不需开美国汽车不去美国留学不消费任何可以让美元回流的商品或服务。
