name,type,headline,gender,created_time,vote,comment,content
炒金高手小玉,people,第一金融文化圈黄金行情分析师,0,2018-04-30 00:09:42,15,1,从被动挨打70年到世界第二，黄种人，不信基督教，不是美国人盟友，能做到今天，你还怀疑智囊团？
龙龙龙,people,,-1,2018-04-24 11:26:30,3,0,还真以为，肉食者鄙未能远谋吗？
中华鹰犬,people,运动达人，私人保镖,-1,2018-04-24 15:22:52,0,0,智囊团，是一个团队，并不是个人，而是各行各业的精英组成的，各行各业的人分析的时候肯定是以自己熟悉的领域为主，决策者根据这些不同的看法综合考虑
往事随风,people,,-1,2018-04-25 16:48:35,0,0,从当今管理者所实行的政策和对外贸易中优劣与否可以略窥一二
知不道,people,前途微茫的普通人,1,2018-04-25 12:01:49,0,2,所有知乎大V加起来应该有一战之力，不过有些大V也身处其中吧。
黄天,people,,-1,2018-04-24 07:24:14,0,0,比所有在下面回答的答主水平都高，而且高的多的多。
