name,type,headline,gender,created_time,vote,comment,content
喵酱,people,,0,2018-05-17 14:30:24,7,0,个人是很赞成公开信中的这句话的:联想的投票原则没有问题，执行也没有问题但是！联想走到今天这一步，本身是要负很大责任的！减配，或者同样配置美国的就要比国内的便宜，旭日旗事件到现在还没一个解释吧，国内和国外的差别对待的同时自身又要扛着爱国的旗帜在国内卖产品，这些黑点累积到今天遇上了中美贸易战的背景下，加上有心人的宣传下，集中爆发了……联想商业上是没有做错的，如果联想之前不扛着爱国旗帜卖产品，今天的解释完全没问题，联想如果之前没有进入政府的采购计划，这个说法也完全没问题，如果联想没有因为国家的支持活下来，这个说法也没问题，可惜，联想做的事只是符合商业上的操作，只是符合商业而已
TTimer,people,,-1,2018-05-18 19:25:18,0,0,谢邀。其实么成功的大资本家都是利益第一的，真国家第一很多钱是赚不到的。华为也好，中兴也好，联想也好，都一样，而且也都没错，不然员工也要跟着喝西北风了。关于联想看下股权变化史，当年国企时代的五笔输入法案件，就不会奇怪了。另外两家么，我也不想对谈，我只评价说一丘之貉，当下立场不同罢了。
刚兵,people,,-1,2018-05-18 20:26:08,0,0,都是自媒体攻击大公司的套路
匿名用户,people,,1,2018-05-20 17:07:40,0,0,明退半休的太上皇+没安全感的儿皇帝+怠政懒学的众大臣
