name,type,headline,gender,created_time,vote,comment,content
谭俊,people,股民,-1,2018-04-22 10:03:39,2,0,第一美国在制度上是现在世界上最有利于经商的国家，美国一直鼓励创新，我们可以看到一直有新的超级公司出现，第二美国政府支持美股上涨，以此来不断吸引国内外资金进入美国创新公司，中国的股市一直不涨，美其名日控风险哈哈，美国是一个靠新公司不断带领美股走高来创造财富的国家，要明白这才是美国强大之本，中国在股市上搞的一团糟，现在投资股市成笑话，只有房子能涨哈哈，这次美股大牛靠什么，脸书，特斯拉，都是不到10年的新公司，他们创造的财富是在原有财富上的加成，这就是美国一直强大的原因
新虢姬,people,毁灭全人类！,0,2018-04-13 19:32:09,7,5,美国2008年面临的金融压力并没有我国现在的压力大。而且二战之后美国的金融一直都比较健康，起码比我国要健康很多。这个资本主义国家在前两百年里不是白混的。周期性的金融危机对他们来说是司空见惯的事情。美国人有足够的经验和资本来应对。而且金融/经济危机之后的复苏对发达国家来说是再正常不过的事情了。所以，奇怪的并不是美国而是中国。
