name,type,headline,gender,created_time,vote,comment,content
王志峰,people,事如周毛，说人能听懂的话,1,2019-05-20 16:10:12,5,5,直接说我作为一个设备交付小兵的个人判断：1、非常危险，因为海外市场不等人。而谷歌应用在安卓系统中几乎算得上是底层支持(不能因为我们在中国不用，就觉得他可有可无了，事实是如果不被屏蔽，谷歌应用在安卓生态系统中几乎是必备注。)2、不要提有备用系统啥的。说这话的，回去找找任老板说的原话。备用系统解决的有和无的问题，但现在手机用户，肯定不会接受一个可以用、但卡的要死、或者生态支持不够的系统。现在大家叫的都凶，但手机不是通信设备，是无法通过大宗采购来真正撑起一个品牌来的。真正备用系统上了，但难用以后，用户很快就是投票的。但是，事情如果真的恶化到那个地步，谷歌真要这么玩，其它厂商也不是傻子，也会寒心的。个人判断，谷歌虽然也会限制中国、限制友商，但天下熙熙，皆为利来，谷歌犯不着用这么猛的手段，现阶段应该还是在避川普的风头，在别人脑袋抽抽的当口，没必要跟别人明确唱反调。当然，未来，谁知道呢。。。
许楠,people,,0,2019-05-22 11:18:12,8,0,我看到这个消息是倒抽一口凉气的，关键不在于安卓系统本身，而是Google的gms，虽然很不想承认，但是没有了gms，终端业务海外市场估计要凉。。国内到是没啥。google的gms重要到什么程度呢，我两年前带着我在国内新买的华为手机来美国，由于众所周知的原因，大多国内手机出厂是不自带gms的。没有这个玩意，我在美国，下不了google store（海外市场应用商店几乎是google store垄断，不像国内各个厂家都自带应用商店）。我想，不用google store就不用吧，我用国内的应用商店下！于是我用国内的应用商店下了个uber准备打车，嗨，你猜怎么着，uber的地图显示不出来（因为他用的Google map），我根本没办法定位自己和要去的位置。Google在海外市场的垄断地位就是这么高，没有gms，所有Google相关应用都不能用，打个车也不能够。。。哎，感觉挺无力的，希望一切都好
郭啸天,people,自幼曾攻经史，长大略通数理,1,2019-05-20 15:48:11,5,8,"每当你盲目支持表扬华为的时候，你切要记着，这个世界上并非每一个公司都具备华为那样好的条件风雨欲来谷歌停止服务华为。以鄙人的研究与精液，最直接的，华为将失去对谷歌安卓操作系统的更新访问权限。只能使用开源版本。Google Play商店、YouTube等应用和服务，也不再能使用。对于海外的华为手机用户来说，一夕之间，芳华不在。但这还只是更坏开始。华为2011年就在准备的“备胎”操作系统，现在同样面临一夜转正。此前，华为方面已经作出回应，在芯片等核心业务层面多年备胎“海思”一夜转正，不会任由美国在芯片方面卡脖子。但未料，特朗普下手，不止是芯片，也正在从硬件、软件和服务组合而来。现在，谷歌禁运，安卓告急。由于安卓属于开源项目，所以目前还不是禁用操作系统。但更新权限等被砍，意味着华为只有在开源版本更新后才能更新安卓安全方面的重要更新。此前华为与安卓更深层次的系统订制，目前尚不清楚具体影响。然而，华为手机的海外用户，将面临直接影响。对于在海外销量同样凶猛的华为手机来说，谷歌服务一夜挂掉，海外用户手机马上滴滴谷歌官方证实，事情属实。接下来，华为只能使用安卓的公开版本，而无法访问谷歌的专有应用和服务。也就是说，华为下一款Android手机将无法安装谷歌应用。影响更大的是禁止华为使用GMS协议，在国外销售的Android手机依赖于GMS提供推送通知、用户数据云存储等服务。因为这些服务不在开源许可证范围内，需要与Google达成商业协议。但是Android系统本身还能继续使用，华为将继续通过Android开源项目AOSP获得免费使用Android操作系统的权利。华为副董事长徐直军表示：“无论发生什么，Android社区都没有任何合法权利阻止任何公司访问其开源许可证。”此举对中国市场的影响微乎其微，但是在欧洲销售的华为手机将无法获得谷歌的授权。欧洲也是华为的第二大市场，可能因此受到重创。近几年华为手机的国际发布会都是在欧洲城市举办。虽然现在华为手机用户有权访问Google Play商店，仍可以下载和更新谷歌提供的应用。但是这些应用不同于操作系统，它们的更新通常由手机制造商和电信运营商负责，华为被美国列入黑名单可能会影响这些更新。帝国斜阳即使华为出于战略考虑准备好了自己的操作系统，如果突然断了粮食，Android系统不用了，Windows Phone 系统也不给用了，华为就懵逼了。华为之愁，正非之忧，变成现实。禁运已经开始，糟糕局面只会更加残酷，华为也将垂死挣扎。华为表面上只是一家公司，其背后却是国家的力量，经过帝国的操控和无数屌丝码农996慢慢的上下追索才来到了这片蓝海，它的梦想一定已经离得它如此之近以至于他几乎不会抓不到它了。然时运不济，命途多舛，它不知道他的梦想已经逐渐离他而去，已经隐藏在了帝国以外的冥蒙浓雾之中。在那里，合众国黑色的土地在黑夜中无边无际的延伸着………so HUA WEI beat on, boats against the current,borne back ceaselessly into the past 于是华为奋力向前划，逆流向上的小舟，不停地倒退，进入过去——菲茨杰拉德 《了不起的华为》"
慕容初晓,people,"非著名砖家，ijcai, aaai, cvpr灌水专业户",1,2019-05-25 08:05:58,0,0,华为四面楚歌，感觉海外市场要玩完了。不能用Google相当于一个手机在国内不能用WeChat不能用Alipay，还有人买这样的手机吗？
