name,type,headline,gender,created_time,vote,comment,content
余鹏,people,特洛伊的卡桑德拉   ,1,2018-10-08 01:15:48,9,12,可能半年内会再次受影响，而这次恐怕来自美国对华的全面禁运
匿名用户,people,,1,2018-10-10 16:56:08,2,0,美国对它有10年观察期的，兄弟。以后但凡中兴未经美国允许销售产品给一些地区，就要接受美国制裁的。咽喉已经被控住了。应该有资料。自己找一找。
