name,type,headline,gender,created_time,vote,comment,content
匿名用户,people,,1,2018-04-21 10:53:53,0,0,就算是逃税也能做成合理避税做企业的哪有那么善良的，我老板就是一个脸皮相当可以的人，脸皮薄公司做不大的
匿名用户,people,,1,2018-04-21 08:53:26,25,1,嫡长子不争气，坑了自己，还把私生子也带沟里了……华为：不怕神一样的对手，就怕猪一样的队友……
雪域痕7,people,培训讲师,-1,2018-04-21 09:09:38,6,3,若要人不知 除非己莫为。当初敢做，现在是以怎样的方式被捅出去又有什么区别？况且美国真要搞华为，就华为那种连中国劳动法都通不过的加班体系，被扣个不正当竞争和违反任泉的帽子，多轻松。
匿名用户,people,,1,2018-07-12 14:06:43,2,0,华为粉丝真是双标的厉害，落井下石都能做的这么光明磊落。中兴主要客户都在国内，中兴倒了，收益最大的还能是思科爱立信不成?感情他们爱的从来不是国，只是华为自己而已。我爱国，但是对于华为，抱歉，再见。
日哥,people,,0,2018-04-20 10:15:46,7,4,有的合理手段大家都在玩，但为何终落入如此境地中兴你心里没数吗？
小毛毛掐,people,,-1,2018-04-21 12:47:03,1,0,任正非一定会嘲讽美国人吧，为什么要硬把我们和中兴放在一起，明明差那么多。
南仁波切,people,,0,2018-07-12 12:49:55,1,0,你们所认为的失职，在更高层面看来是合规经营。现在的国企领导，已经不可能依靠口头指令去指挥下面干活了，因为各种追责，导致这个系统内的所有人员做事前先考虑的是免责问题，而不是如何做事。和伊朗做生意，这是上不了台面的事，没有一把手签字认可的一系列文件，下面是根本不会执行的。所以为何同样的事，华为可以任总一句话就安排下去，不留任何痕迹，而中兴必须白纸黑字的写出来。这不叫蠢，这叫合规经营。中兴的事，从程序和规范上来看，并没有毛病。所以从中兴的上级管理单位来讲，并没有追责的理由，因为中兴恰恰就是按照程序办事。
