name,type,headline,gender,created_time,vote,comment,content
恒子,people,周身笼罩着无比纯洁的气场,1,2018-05-26 22:16:34,10,0,看了所有答案，都是答非所问。奥威尔废话，就是说中国过于专横，总是提出不合理的要求。
雨霈,people,,-1,2018-05-12 19:00:04,23,5,文章观点是否正确先放一边。麻烦转载的时候注明原作者：二大爷Courtyard。不提著作权的事，这是最起码的尊重。  这个答主的行为突然觉得有点搞笑。
iceker114,people,,-1,2018-05-24 10:46:52,3,4,我就想知道，到处对外嚷嚷着国家主权，对内体制内，去香港、澳门、台湾旅游居然算出国旅游这个制度怎么解释？
匿名用户,people,,1,2018-05-18 19:17:59,4,0,新闻联播前十分钟。
匿名用户,people,,1,2018-05-23 14:58:08,2,1,个人的真实感受就是：买机票的时候，发现港澳台西藏额外列出来，作为一个中国人，我看着就是难受。对航空公司提这样的要求，没毛病！
smiler1203,people,一句话介绍不了,-1,2018-05-23 17:00:18,0,0,如果说港澳台有一些历史原因呢，那么把西藏列为国家是不是有太明显的政治意图了
