name,type,headline,gender,created_time,vote,comment,content
Mr.Hy,people,理工里的文科男,-1,2018-04-24 16:03:11,96,25,看到有说跑题的，题主问的就是对中美双方的影响我表达的意思应该是很清楚了，知乎的回答不用那么格式严谨吧...至于最后的一部分实在是有感而发，长期以来我国的宣传就很片面（参考历史教科书和最近的官媒报道），取得的一点成绩无限夸大，对不足却视而不见甚至隐瞒以下原答案.....美国有亚马逊，微软，谷歌三家服务器，每一家都比阿里云好得多，已经这么多年了，封杀阿里云能对美国造成多大影响？？反观中国这方面的服务刚起步，阿里虽然已经建了一些海外站点，但跟美国比起来实在不怎么样（参考阿里站点的位置），被美国封杀会有多大影响？？毕竟中国建国时间比美国短的多，很多方面的差距根本不在一个量级。美帝毕竟掌握着核心科技，万万不可盲目自信。
jerrymouse80,people,设计师,1,2018-04-24 16:17:12,5,1,没啥影响，阿里云在美国目前几乎没份额，一直有人说床破不喜欢贝索斯，现在看来不是嘛。
星空,people,,-1,2018-04-24 18:53:44,6,0,阿里云在美国占有多少市场份额呀，那个需要封杀吗？
慕容铁柱,people,易交往！,-1,2018-04-24 12:43:09,10,11,首先，只要中美不打仗，这基本是不可能的！因为上次马云才说给美国提供一百万工作岗位！除非特朗普真的想下台！
兔子女郎,people,随性且简单,0,2018-04-24 14:22:06,7,6,匹夫无罪，怀璧其罪！估计两国都不会比以前好过到哪儿去，斗来斗去的有何意义。看看孔子老人家说的仁爱 墨子的非攻 为什么特朗普就不能消停消停，心中默念peace and love呢
吴林,people,,1,2018-04-25 16:13:17,0,0,目前没啥影响，阿里云在美国又没啥市场，目的是保护美国本土市场，扼杀在摇篮里，未来可能会对美国本土企业创新会有点影响
星汉,people,Geek,-1,2018-04-25 12:44:23,0,0,没啥影响吧，阿里在美国没啥份额，就像aws在国内也没人用差不多。
你愿意吃屎么,people,高中毕业的醒砖工,1,2018-04-24 20:36:08,0,0,可以让阿里云专心发展其他区域。。断了去美帝的念想。
伍斌杰,people,我就是我,1,2018-11-12 15:43:06,0,0,阿里云的价格比aws，微软，谷歌真的是低好多。不过美国好多客户并不会买阿里云，阿里云现在的服务还是差点的。不清楚是否不允许阿里云在美国建IDC 机房，这部分主要是为了国内企业的国际业务服务的。如果禁止了也没啥，把IDC 搬到加拿大就可以了。没啥影响，想封就封吧，阿里云自己争气把产品和技术打磨好，发展自己是硬道理。参考华为。
