name,type,headline,gender,created_time,vote,comment,content
匿名用户,people,,1,2018-06-01 00:26:44,4,0,支持川普的女人都要开除女籍
Xizhi Zhu,people,https://xizzhu.me/,1,2018-06-02 07:13:56,41,4,什么？你竟敢这样赤裸裸的攻击一位女士的外貌？说，是不是大男子主义，是不是性别主义？嗯，等等，你攻击的是右派，还是川老头子的发言人？没事，你接着喷，我看哪里凉快，过去歇会儿。
yu069sinaaa,people,,-1,2018-06-02 15:20:33,0,0,不算啊，人家长得比较自然好不动不动就丑啊美啊的，俗不俗啊你们
匿名用户,people,,1,2018-06-06 04:02:51,1,0,五官身材上来看，和川大爷挺有夫妻相的
匿名用户,people,,1,2018-06-01 03:11:30,2,0,这位发言人不断为中国的反美媒体提供民主的反面宣传材料13岁男孩问了一个问题 白宫发言人哽咽了_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili说到颜值，川皇的宫里一直不缺美女，比如担任美国战略沟通部主任的模特Hope Hicks，体现美国是个美丽国家，跟川皇心意相通，但是直到辞职，川粉都没吹她，不像军医被捧到丑闻爆炸，真是厚此薄彼，不公平呢。最近入宫的新闻助理卡洛琳·桑恩，95后的迪士尼童星，年轻所以很有希望，按照DC特区的法律已经可以合法上了。如果白宫搬到没有法定最低结婚年龄和政治正确限制的广大红州，还可以收更低龄的（但是选民居然背叛 活基督 Roy Morre 的阿拉巴马州就算了吧，白宫要远离政治正确州！）。我建议川皇再增设一个白宫调教师的职位，请Stormy担任，官司这样和解，大家都好，省得继续增加丑闻了，私人律师Cohn被东厂查抄的16个手机和电话录音想象空间很大。最后，祝川皇保持正宫梅拉尼娅的情绪稳定，不要成为第一个在任离婚的美国总统。
