name,type,headline,gender,created_time,vote,comment,content
九乡河龙牙,people,热爱生活的打桩机~,1,2018-04-08 15:42:07,2,3,在华投资，强制技术转让是很正常的现象，问题是中国并没有强逼你技术转让，因为可以不选你做生意，选择愿意技术转让的公司，因此现在再来追讨有些过分了。例如高铁合作方加拿大庞巴迪、日本川崎重工、法国阿尔斯通和德国西门子都是一起做生意的，中国政府给这几家付了钱获取了技术，并且在一些官方媒体也报道过技术人员加班加点吸收技术的正能量故事。特朗普跳出这帮家伙也跟着一期跳出来说当时吃亏了实在是太无耻了，如果气节真那么重要当年还不是为了钱抢着转让。
游玩一天,people,我很傻，什么也没有留下,1,2018-04-06 18:57:37,1,0,看的心里一紧，这是世界发达国家组团怼中国。怎么办？
黄飞,people,,-1,2018-04-08 19:03:57,0,1,意料之中的事。正值两国贸易战，他们当然要趁人之危找点便宜了。不过也就找点便宜，要他们和美国一起对付中国不大可能。工业时代，中低端工业品是和主粮一样重要的存在，甚至比高端工业品还要重要，毕竟高端工业品只关乎国力，中低端工业品关乎民生。发达国家的日常生活用品除了中国外根本找不到替代品，即便是特朗普也只能拿中国的高端工业品开刀。有的人可能要提东南亚印度，但是这些国家紧邻中国，如果真到了那样地步，中国完全可以在边境搞军事演习，那样还有人去投资吗？这场贸易战谁来都一样，也就那点招数。最多就是延缓中国的产业升级，又回几年前满地血泪工厂的日子。万一美欧真的不顾民生也要来把大的，把贸易全禁了。那也只好转移内部矛盾把台湾和钓鱼岛收了，然后大家耗着。反正常规战争的话，在近海也不会输。也有另外一种情况，中国可以和欧盟日本妥协，吃点亏。一心一意对付美国就是了。就德法和日本那点经济，涨得再快也和中美两国相差十万八千里。
刘阳,people,合一大法成，转而去养猪的游戏程序猿,1,2018-04-06 18:44:06,8,2,贸易战话题下很多人还天真的以为欧盟去会拆老美的台。。。还巴西大豆澳洲铁矿呢，想啥呢
johnsoong216,people,,1,2018-04-09 00:30:02,1,1,因为的确是窃取了知识产权，承诺WTO开放也没做到
Zeldovich Yakov,people,"天灭美利坚，退美保平安。
主营各种退美咨询业务。",1,2018-04-06 20:48:56,4,0,加入磋商也不等于组团对抗。不加入磋商就得小心被两边一合计给买了。尤其是遇到川普这种死道友不死贫道的主。
破碎的x.x,people,一朝回到解放前18324,1,2018-04-07 02:55:31,2,1,来得太快来得太猛。估计某些人要学慈禧了吧。从网上的反应来看，TG对这个事情有点猝不及防，反正这个问答标题复制后搜索不出来
嘿嘿嘿you,people,机械工程师,-1,2018-04-10 18:44:34,0,0,日本背后捅刀子没什么惊讶的   对于欧盟 中国是发达国家粉碎机  中国产业升级直接威胁的是欧洲一些国家  况且欧盟依靠美国为主的北约现在才能安稳的在偏安一隅在欧洲过着不错的生活  
巅峰小鸡,people,游戏玩家,-1,2018-04-06 20:09:19,0,0,早就猜到日本鬼佬会这样做，没想到比我预测的还要快了这么多|･ω･｀)
