name,type,headline,gender,created_time,vote,comment,content
老中医包治一针灵,people,好好好熬哈哈,1,2018-04-21 20:35:21,283,32,"我一般出行前都关注下新闻气象，最近这么大规模的台海军演绝对会导致航路资源紧张，必定会延误，一周前新闻都铺天盖地预热了。这两天南来北往的“常旅客”，每年经历无数夏秋季节的各种航路管制事件，聪明有经验的都基本高铁出行了。 转自航旅圈大号“停机坪”《军演下的航班延误，乖乖听话才算爱国》附带原文链接：https://mp.weixin.qq.com/s/8qRsVdOCBnDyNDuN2aFAog内容截取：4月18日,我们在电视里实时目睹了中国近年来最高调的一次军事演习。早上8时，我陆军航空兵部队开始在东南沿海举行跨昼夜海上实弹射击演练。晚上23:00后，随着最后一架直升机降落，此次海上实弹射击演练圆满结束。据央视报道，这次演练紧贴实战，使用导弹和火箭弹对海上浮动靶标和模拟舰船等多个目标实施攻击。台海军演，其中的敏感性不用多做解释了吧。对这次“亮剑”，网络上称赞叫好声一片，爱国热情被进一步激发，无数的豪言壮语一时间充斥在两微一端的留言板上。然而，当“真枪实弹”碰触到了个别人的切身利益后，这些人又是另一幅面孔，十分令人失望。军演前后这几天，国内许多机场由于空域被“其他用户”占用，发生了大面积航班延误，不少航班延误超过五六个小时，为做好相关保障，很多机场和航司的员工通宵达旦彻夜加班，有的甚至从早上一直忙碌到次日凌晨4、5点才下班，累到虚脱。就在这种情况下，我们又从个别旅客那里听到了一些不太和谐的声音。有的张口就骂娘闭口要赔偿。有的大声喧哗煽动他人闹事。有的摔水瓶扔盒饭砸柜台。有的嫌航司免费安排的酒店不够高档。有的甚至口出狂言诋毁解放军。网上发帖的时候又是点赞又是欢呼，咋到了自己利益受点影响时就变得不理解不理智了？又没有让你舍身从戎沙场冲锋，就一个军演让你等几个小时就就受不了了？你说航空公司骗人机场信息闭塞，你可知军演几点开始几点结束都是国家机密凭啥告诉你？。。。。。。"
成华区吴彦祖,people,花村游戏厅老板保护协会会长,1,2018-04-20 10:54:26,26,5,没有恶劣天气时的大面积延误，只要没有什么突发性事件，就基本上都是其他用户占用空域导致，也就是军事活动，我国的空域属于军方，民航只能在其准许的范围内运行，19号和之前有一天，就是军事活动限制了华北和靠近华中几个民航常用的关键航路点的流量，导致绝大部分航班都长时间延误，而且无法确定具体的起飞时间，这就给航空公司的决策带来了很大的难度。如果让旅客上飞机等，只要军事活动结束之后，就可以优先起飞，但是如果等待时间长，旅客是会有情绪的，就会导致航班下客，会重新排队。如果拉旅客去宾馆休息，一个花费高，还有就是如果活动结束早，还要提前把旅客从宾馆接回机场，动作慢的公司，或者计划时间晚的航班，他们的旅客还会面临无酒店可订的局面。感觉这几次的军事活动也是受最近国际形势的影响，常看新闻应该也知道吧。而且夏季到了，最近国际形势也是瞬息万变，雷雨和军事活动齐飞的时候。。。多买延误险吧
phobos,people,,1,2018-04-22 23:45:39,2,0,都去419了？报道里说，明尼苏达基地的B2全部升空了俄罗斯好像发生了什么
小强,people,,1,2018-04-19 23:02:17,9,2,航空公司官方消息：因为军事活动。只说了这么多～好像所有经过东北航线的都禁了。现在正躺在航空公司安排的宾馆里～地点郑州机场附近。下午5点半的飞机一再延迟到8点、11点、12点，现在又显示2点～毕生难忘的乘机经历啊！
liang,people,,-1,2018-04-20 06:16:54,4,3,下午4点从西双版纳飞昆明被取消，导致赶不上7点半昆明飞上海，又改签不了，没有航班了，航空公司也不管，昆明飞上海退票基本没赔，重订了晚上12点飞昆明，20号早上7点半昆明飞上海，我一个女孩子第一次一个人在长水机场过了一夜，差点被冻傻，心情是真的很差……
Loving Crystal,people,喝孟婆汤呛醒,-1,2018-04-22 14:53:57,1,1,论高铁发展的重要性    
Godiva,people,,-1,2018-04-19 23:30:56,4,2,我们在首都…从下午等到了现在…深圳的飞机还没飞来…没有安排…只有支水陪伴…如果我是外籍人士，你会如何对待呢…
菜菜,people,,-1,2018-04-20 08:54:06,1,1,国航西安飞天津的航班取消，想从石家庄、济南、北京绕道去，没票。只给退机票款没有赔偿，我们定的酒店以及下一个行程的机票全部作废，没有赔偿。损失惨重！！！据说西安咸阳机场取消航班16架次，大面积延误。回西安做大巴时听同车的旅客说延误了7个小时，还有说延误了十几个小时的。无语无语啊......
