name,type,headline,gender,created_time,vote,comment,content
有凤来仪表非凡,people,,1,2018-05-19 10:10:18,101,53,推测是为了切割手机软件与谷歌的关系，做到即使被制裁，也不影响华为手机的主要功能和市场。因为安卓系统真正被谷歌约束的命门就是谷歌提供的商店等服务。这个趋势在其他网络和无线设备上更明显一些，现在各产线纷纷自查自纠，尽量采用公司内部系统和芯片，避免关键时刻被卡脖子。
苟苟辣么可爱,people,,-1,2019-05-20 17:47:01,15,0,定睛一看 2018年的问题。。。卧槽 预言家啊
虚极静笃,people,,1,2019-05-20 18:05:58,5,0,预言家 膜拜下
Evander Miao,people,,1,2018-06-02 06:04:15,4,3,突然发现现在又可以用了，恶梦般的日子终于结束了
韧笔,people,游戏玩家,-1,2019-05-20 10:54:17,5,0,风起于青萍之末，浪成于微澜之间
肥懒猫,people,学生,-1,2018-06-01 23:13:23,3,1,国内封杀谷歌，只能翻墙，不然没任何办法。
XSpace,people,直连Google play商店,1,2018-06-27 16:45:15,1,1,国内的话可以用谷歌空间，华为手机
心悦3,people,Acer,0,2018-05-20 19:23:10,2,0,因为谷歌不爱国
朱古栎,people,,-1,2019-05-20 22:54:30,0,0,
