name,type,headline,gender,created_time,vote,comment,content
未语诗,people,非确定性码农，兼职测字,-1,2018-04-10 22:15:04,6,1,世界各国都有黄金存在美国，算是参加世界贸易的押金吧。2008年美帝金融战败以来，围绕着黄金出了这么一些事。一，某些人搞比特币否定黄金。二，高盛大举做空黄金。三，黄金去货币化论盛行，现在去金店买金戒指很少有按克重卖的。四，卡恩被明显的陷害，普京说是卡恩掌握了美国偷着卖了黄金的证据。五，钮交所黄金实物交割无解释延期三个月。六，荷兰交易所黄金实物交割违约，要美元可以有，要黄金没有七，中印‘大妈’好像同时知道了黄金便宜大量收购实物黄金八，钨心假黄金四处出现九，中国新闻联播放某银行小支行金库十，德国发起运黄金回国运动，失败十一，乌克兰乱后国库33吨黄金被运到美国十二，中国推出人民币石油与黄金挂勾。。。怎么看都随便
红色小水晶,people,c#,-1,2018-04-10 17:58:44,1,0,只能在华尔街金库里移动，不能移出来，金库里有世界各国的小仓库，交易的时候就移动金子。就这样
匿名用户,people,,1,2018-12-27 15:27:11,0,0,美国2018已经陆续拒绝了几个国家提走他们的黄金。所以.....
