name,type,headline,gender,created_time,vote,comment,content
谢丹,people,拉黑就是“现在该买了？”“现在该卖吗？”,1,2018-04-18 16:25:14,11,2,有也不要给流氓公司背书。中兴这种猪队友，真是丢中国人的脸。
IC咖啡胡运旺,people,芯片产业促进平台，芯片天使投资,-1,2018-04-18 15:46:24,3,0,没
袁自翔,people,用计算机做算术的猫奴,-1,2018-04-19 17:36:15,0,0,对方作出了不当的行为，你就要做出一部分的报复，世界的相对和平确实是这么来的。然而，对方已经决定做如此针对性，有计划性，并且看似合理的事情，就不在乎你做什么报复，所以答案是：与其我们吃不到美国便宜牛肉，还是没有的好。
AshIy,people,,-1,2018-04-19 14:15:05,0,0,没底牌 高科技的东西从来不是我们所拥有的
